"","Cyear","Lusimj","sLusi","sstmj","sSST","Beutimj","sbeuti","sLusi_lag4","sSST_lag4","sbeuti_lag4","Tumimj","sTumi","HCImj","sHCI","Windmj","sWind","STImj","sSTI","STI48mj","sSTI48","DO150mj","sDO150","DO50mj","sDO50","cutimj","scuti","ara150mj","sara150","ara40mj","sara40","sTumi_lag4","sHCI_lag4","sWind_lag4","sSTI_lag4","sSTI48_lag4","sDO150_lag4","sDO50_lag4","scuti_lag4","sara150_lag4","sara40_lag4","Landkg"
"28",1994,177,0.3727309751509,11.8581,-0.432048003013879,0.6598,-0.169338895852603,1.23879925023188,NA,0.31511969497077,3630.7368,-0.950933811602518,0.292594657583333,-0.386565843365436,-1.95050325,-0.397735376172763,115,0.0918931431780964,166,1.77047775460185,NA,NA,NA,NA,0.341,0.590198706260754,NA,NA,NA,NA,-0.574254030319093,0.406058217520607,NA,-1.28219651340687,1.51656960611427,NA,NA,0.345438057903383,NA,NA,8811685.414
"29",1995,166,0.00631747415509955,13.3725666666667,1.2208335552531,0.3866,-0.299762710410097,1.37204052332126,NA,0.310727677789478,4346.176,-0.569000682231813,0.18513363145,-0.952097972416078,-2.71128733333333,-1.04009419352308,100,-0.532693064360526,100,-0.62351335970966,NA,NA,NA,NA,0.2108,-0.194723372954263,NA,NA,NA,NA,-0.271032290568293,1.43896008551704,NA,-0.574332144863101,-0.659785952350743,NA,NA,0.562467204230116,NA,NA,8788649.272
"30",1996,134,-1.05961271055996,12.03288,-0.241293960609136,-0.213,-0.586007656269078,-0.626578573019464,0.558305774071092,-0.229013042337547,6190.4395,0.415548850333875,0.238585746166667,-0.67079702708108,-1.1831674,0.250155345931815,142,1.21614831674762,142,0.899935531215848,NA,NA,NA,NA,0.219,-0.145288956290952,NA,NA,NA,NA,-0.236505377484442,-1.07077181778409,-0.596733106364415,0.30008854569097,-0.00687928481123999,NA,NA,0.760204870883361,NA,NA,7655641.756
"31",1997,107,-1.95899130391328,12.40968,0.169943727788316,-0.3504,-0.651601478085329,-0.126923798934282,0.494350018922231,-1.1780706680341,2216.8938,-1.70570581938301,0.153396435033333,-1.11912042609474,NA,NA,126,0.549923028706419,155,1.37147923554993,NA,NA,NA,NA,0.1744,-0.414163954240182,NA,NA,NA,NA,-0.744159316822811,0.0231763002830605,1.53439274939293,2.21548624880941,1.58911479139643,NA,NA,-1.31604062897572,NA,NA,4204425.695
"32",1998,192,0.872385749236082,13.6775666666667,1.55370907266611,0.6316,-0.182801383299606,0.3727309751509,-0.432048003013879,-0.169338895852603,7023.1187,0.860069883872288,0.0862100975,-1.47270008074271,-2.9164935,-1.21335753251862,83,-1.2405574329043,83,-1.24014743460808,NA,NA,NA,NA,0.3002,0.34423234042379,NA,NA,NA,NA,-0.950933811602518,-0.386565843365436,-0.397735376172763,0.0918931431780964,1.77047775460185,NA,NA,0.590198706260754,NA,NA,4453823.027
"33",1999,206,1.33873020504892,11.51782,-0.803427940932895,1.3882,0.178394290544465,0.00631747415509955,1.2208335552531,-0.299762710410097,8364.607,1.57621574844497,0.603563479666667,1.24996105712176,-1.0877786,0.330695722759887,89,-0.990722949888849,109,-0.297060025939908,2.3675,0.664841380897472,2.16,-0.717175805078929,0.2738,0.185077633117519,0.77740955,0.687973608195883,0.85571815,-0.865016260061424,-0.569000682231813,-0.952097972416078,-1.04009419352308,-0.532693064360526,-0.62351335970966,NA,NA,-0.194723372954263,NA,NA,4451466.161
"34",2000,152,-0.460026981657737,11.54904,-0.769354584691472,1.4044,0.186128059928914,-1.05961271055996,-0.241293960609136,-0.586007656269078,5748.053,0.179383344814533,0.4563845525,0.475406643983361,-1.240423,0.201812274213569,134,0.883035672727018,166,1.77047775460185,2.06,-0.415160759776274,1.875,-1.04205740405574,0.3124,0.417781106678961,0.7413657,-0.0743764379632785,0.744801825,-1.44106336792048,0.415548850333875,-0.67079702708108,0.250155345931815,1.21614831674762,0.899935531215848,NA,NA,-0.145288956290952,NA,NA,7710405.777
"35",2001,175,0.306110338606209,11.2326,-1.11471566249532,3.5066,1.18970398585411,-1.95899130391328,0.169943727788316,-0.651601478085329,7576.788,1.15564307637486,0.640868589166667,1.44628561086114,-2.1886714,-0.598829766179188,120,0.30008854569097,120,0.101938493112011,2.72,1.90289261532835,3.3,0.582350590828314,0.4776,1.41370374482275,0.83942855,1.99971437708559,1.16975688666667,0.765952905321094,-1.70570581938301,-1.11912042609474,NA,0.549923028706419,1.37147923554993,NA,NA,-0.414163954240182,NA,NA,4063198.804
"36",2002,198,1.07224765887015,11.3876,-0.945549415941165,4.2114,1.52617069339482,0.872385749236082,1.55370907266611,-0.182801383299606,7877.336,1.31608890904116,0.593262808933333,1.19575200608177,-1.7983704,-0.269283848667138,106,-0.282858581345077,106,-0.405877803863159,1.7165,-1.62160217545573,1.269375,-1.73243080188146,0.4714,1.37632650295536,0.6748430825,-1.48137154314081,0.678452495,-1.78565051192193,0.860069883872288,-1.47270008074271,-1.21335753251862,-1.2405574329043,-1.24014743460808,NA,NA,0.34423234042379,NA,NA,5520650.509
"37",2003,154,-0.393406345113046,12.24238,-0.0126466789762633,0.1224,-0.425889986420675,1.33873020504892,-0.803427940932895,0.178394290544465,6922.2456,0.806219355759873,0.178823311166667,-0.985307118031318,-0.5971576,0.744945616036306,117,0.175171304183246,115,-0.079424470093407,2.525,1.21801320904744,5.49,3.07880919349223,0.2678,0.148906108729731,0.802645,1.22171921174121,1.31702947,1.53081728120173,1.57621574844497,1.24996105712176,0.330695722759887,-0.990722949888849,-0.297060025939908,0.664841380897472,-0.717175805078929,0.185077633117519,0.687973608195883,-0.865016260061424,10357967.74
"38",2004,179,0.439351611695591,13.03002,0.846979788352213,1.01,-0.00215580706038243,-0.460026981657737,-0.769354584691472,0.186128059928914,4162.3125,-0.667155161231637,0.206755755333333,-0.838307827334398,-1.6723928,-0.162916189404246,112,-0.0330240983296281,112,-0.188242248016658,1.99,-0.661014905620704,1.4457,-1.53143168630397,0.33,0.523884244883141,0.7101538,-0.734527709420551,0.6701832,-1.82859733213783,0.179383344814533,0.475406643983361,0.201812274213569,0.883035672727018,1.77047775460185,-0.415160759776274,-1.04205740405574,0.417781106678961,-0.0743764379632785,-1.44106336792048,8749517.404
